Cartur's HD Blood - particle texture inventory
generated 2026-09-08 11:40:48

Sorted by texels per world unit, weakest first. That ratio - not raw
resolution - is what decides whether a texture is under-resolved: an 8x8
texture on a 0.05-unit droplet is fine, 64x64 on an 8-unit cloud is not.

 texels/unit  texture                                  size  maxParticle  material / users
        1280  iron                                  512x512          0.4  coal [Fader_Fissure_AOE, Fader_Fissure_AOE, fx_DvergerMage_Ice_hit, fx_fader_meteor_hit, fx_iceshard_hit, fx_morgen_roll]
        1280  Spark Blur                            128x128          0.1  Magic Spark [RunestoneMagic, RunestoneRare, EtchedRunestoneMagic, EtchedRunestoneRare, ShardMagic, ShardRare]
      1365.3  flames_large_flipbook               4096x4096            3  flames_large_flipbook [charred_fireball_aoe, DvergerStaffFire_fire_aoe, Fader_DroppedFire_AOE, Fader_Fissure_AOE, Fader_Flamebreath_AOE, Fader_WallOfFire_AOE]
      1365.3  Ashlands_Rocks_d - Copy             4096x4096            3  AshlandsRockTest_mat [Fader_Fissure_AOE, Fader_Fissure_AOE]
      1706.7  Snow5                                 256x256         0.15  Snow5cg [IceSpikes, IceSpikes]
      1706.7  EGACrystal                            512x512          0.3  EGACrystal [IceSpikes]
      1706.7  HandPaintedLightning2               1024x1024          0.6  HPL2cg [Berserker]
      1706.7  babyseeker_d                        1024x1024          0.6  babyseeker [fx_babyseeker_death, fx_babyseeker_death, fx_babyseeker_death, fx_egg_splash]
        2048  seeker_d                            2048x2048            1  seeker [fx_seeker_death, fx_seeker_death, fx_seeker_death, fx_seekerbrute_death]
        2048  RisingSmoke                         1024x1024          0.5  risingsmoke [blackforge, blackforge, BlackSoup, BloodPudding, Bread, CarrotSoup]
        2048  FlameRoundParticleSheet             4096x4096            2  FlameRoundYellowParticle [vfx_fenring_cultist_death, vfx_fenring_cultist_hildir_death]
        2048  SeekerQueen_d                       4096x4096            2  SeekerQueen_Carpace [fx_Queen_Death, fx_Queen_Death]
        2048  Dungeon_dirt                        2048x2048            1  dirt [Abomination, vfx_firetreecut_dead_abomination]
        2048  Blood2                              2048x2048            1  blood_splat2 [fx_babyseeker_death, fx_bat_death, fx_bjorn_death, fx_deatsquito_death, fx_Dverger_death, fx_egg_splash]
        2048  fi_village_catacombs_hd_2           2048x2048            1  fi_village_catacombs [vfx_BonemassDeath]
        2048  Branch_d                            2048x2048            1  branch [fx_Abomination_attack_hit, fx_Abomination_attack2, fx_Abomination_attack3, fx_ashvine_destruction, fx_vinegreen_destruction, vfx_beech_cut]
        2560  Grausten_d                          2048x2048          0.8  Grausten [Catapult_Ammo_Projectile_AOE, vfx_GraustenDestroyed]
        2560  bloodbag_d                            512x512          0.2  bloodbag_rotten [vfx_bonemawserpent_death, vfx_serpent_death]
        2560  Glow1                                 512x512          0.2  Glow1cg [Undying, Undying, Undying]
      2730.7  Ashlands_Stone_Ashen_d              4096x4096          1.5  Ashlands_Stone_Ashen_mat [vfx_Ash_Arch2_Broken1_destroyed, vfx_Ash_Arch2_Broken2_destroyed, vfx_ashland_ruin_wall_windows_broken_4x6_destruction, vfx_Ashpiece_roof_destroyed, vfx_AshPieceDestroyed, vfx_Ashruin_steepstair_destroyed]
      2730.7  Gjall_d                             4096x4096          1.5  gjall_mat [fx_gjall_death, fx_gjall_death, fx_gjall_death, fx_gjall_death, fx_gjall_death, fx_gjall_death]
      2925.7  marble_item_d                       2048x2048          0.7  blackmarble_item [vfx_MarbleDestroyed, vfx_MarbleHit]
      3150.8  seekerBrute_d                       4096x4096          1.3  seeker_Brute_mat [fx_Queen_Death, fx_seekerbrute_death, fx_seekerbrute_death, fx_seekerbrute_death]
      3413.3  PortalRunes                         2048x2048          0.6  PortalRunes [portal_stone]
        4096  Charred_d                           4096x4096            1  Charred_mat [fx_charred_death, fx_charred_death, fx_charred_death, fx_charred_death, fx_charred_summoned_death, fx_charred_summoned_death]
      4266.7  Spark                                 128x128         0.03  Legendary Sparks Confet~ [RunestoneLegendary, RunestoneLegendary, RunestoneMythic, RunestoneMythic, EtchedRunestoneLegendary, EtchedRunestoneLegendary]
        5120  cinder                              1024x1024          0.2  magetable_smoke_cinder [piece_magetable, piece_magetable, piece_magetable, piece_magetable, piece_magetable]
        5120  asksvincarrion_d                    2048x2048          0.4  asksvincarrion_mat [vfx_ carrion_destroyed]
        5120  charredspawnercoal_d                  512x512          0.1  charredspawnercoal_mat [vfx_charredcross_spawner_destroyed]
        5120  acacia_leaves01                       256x256         0.05  fireplace_ash_glowing [vfx_FlameBall_launch]
        5120  Romb3                                 256x256         0.05  Romb3cg [MagicShield]
        5120  ObsidanRock_d                       4096x4096          0.8  ObsidianRock_mat [vfx_RockDestroyed_Obsidian, vfx_RockHit_Obsidian]
       10240  Grausten_cracked_d                  2048x2048          0.2  Grausten_Broken_mat [vfx_grausten_stair_destroyed, vfx_GraustenDestroyed_large, vfx_GraustenDestroyed_large]
       10240  CandleFlame_Flipbook                4096x4096          0.4  candleflame_flipbook [Candle_resin, Candle_resin, Candle_resin_bogwitch, Candle_resin_bogwitch, piece_magetable_ext2, piece_magetable_ext2]
       12800  (Wood 26) tree bark seamless text~  1024x1024         0.08  pilechunk [vfx_draugrpile_destroyed]
     13653.3  InvisMoss                           4096x4096          0.3  DraugrFangGlow [BowDraugrFang, BowSpineSnap, SwordMistwalker]
     13653.3  blob_d                              2048x2048         0.15  blob_morgenhole [vfx_morgenhole_pile_destroyed]
     13653.3  mudpile_d                           2048x2048         0.15  mudlump [vfx_MudDestroyed, vfx_MudHit]
     17066.7  rock_a_dif                          2048x1024         0.12  guck [vfx_GuckSackDestroyed, vfx_GuckSackSmall_Destroyed]
       20480  marble_d                            4096x4096          0.2  blackmarble [vfx_RockDestroyed_marble, vfx_RockDestroyed_marble, vfx_RockHit_Marble]
     22755.6  icewall_d                           2048x2048         0.09  cave_ice_nosnow [fx_icicle_destruction]
     27306.7  AshlandsTrees_d-e64dec58            8192x8192          0.3  AshlandsTrees_mat [vfx_ashlandstreecut]
     58514.3  GiantRust_d                         4096x4096         0.07  GiantRust_particle [vfx_GiantMetal_destroyed, vfx_GiantMetal_destroyed]
       81920  Flametalore_d                       2048x2048         0.03  Flametalore_Mat [fx_flametalnode_destruction]
      102400  Jelly_d                             2048x2048         0.02  JellyItem [fx_jelly_pickup]

181 distinct particle textures; 181 written as PNG.
